City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,qaqortoq,60.7167,-46.0333,-10.8,75,2,7.56,GL,1742435678
83,mermoz boabab,14.7065,-17.4758,22.03,73,0,10.89,SN,1742435679
84,pauini,-7.7136,-66.9764,22.63,98,99,1.05,BR,1742435681
85,ascension,30.2169,-90.9001,22.0,74,100,2.57,US,1742435682
86,siwa oasis,29.2041,25.5195,12.67,52,0,5.3,EG,1742435683
87,poronaysk,49.2167,143.1167,-5.6,81,59,2.95,RU,1742435684
88,sihanoukville,10.6093,103.5296,26.97,61,40,3.09,KH,1742435685
89,asau,46.4333,26.4,-1.18,73,4,2.28,RO,1742435686
90,hadibu,12.65,54.0333,25.01,72,100,2.56,YE,1742435687
91,kashmor,28.4333,69.5833,23.45,18,13,6.6,PK,1742435688
92,remire-montjoly,4.9167,-52.2667,27.02,83,20,2.57,GF,1742435690
93,cabo san lucas,22.8909,-109.9124,23.75,60,45,0.45,MX,1742435629
94,arraial do cabo,-22.9661,-42.0278,23.37,90,100,3.16,BR,1742435692
95,flying fish cove,-10.4217,105.6791,28.82,83,100,4.63,CX,1742435693
96,thompson,55.7435,-97.8558,-10.91,44,40,3.09,CA,1742435694
97,piacabucu,-10.4056,-36.4344,26.52,76,12,4.06,BR,1742435695
98,ciudad del maiz,22.4,-99.6,17.82,29,12,6.78,MX,1742435491
99,keetmanshoop,-26.5833,18.1333,21.51,94,100,1.03,NA,1742435698
100,holualoa,19.6228,-155.9522,24.91,73,75,4.12,US,1742435562
101,progreso,21.2833,-89.6667,24.41,80,0,6.58,MX,1742435700
102,bardai,11.65,7.2333,22.26,5,100,3.24,NG,1742435701
103,karratha,-20.7377,116.8463,31.43,43,0,0.8,AU,1742435702
104,thunder bay,48.4001,-89.3168,0.99,32,75,3.09,CA,1742435703
105,howard springs,-12.497,131.047,30.95,71,98,0.67,AU,1742435704
106,port alfred,-33.5906,26.891,23.41,60,0,2.97,ZA,1742435705
107,sitka,57.0531,-135.33,6.94,65,75,1.54,US,1742435707
108,magadan,59.5667,150.8,-13.3,67,67,2.37,RU,1742435708
109,papatowai,-46.5619,169.4708,19.05,55,0,3.65,NZ,1742435709
110,pisco,-13.7,-76.2167,22.03,73,0,4.12,PE,1742435710
111,saint-philippe,-21.3585,55.7679,26.35,86,79,2.98,RE,1742435711
112,general jose de san martin,-26.5374,-59.3416,21.95,37,0,2.0,AR,1742435712
113,st. john's,47.5649,-52.7093,-0.02,96,100,5.14,CA,1742435415
114,bethel,41.3712,-73.414,10.08,62,100,0.89,US,1742435715
115,kerikeri,-35.2268,173.9474,21.85,48,84,3.48,NZ,1742435716
116,jamestown,42.097,-79.2353,18.8,25,0,6.17,US,1742435717
117,santa ana,33.7456,-117.8678,23.36,26,40,4.12,US,1742435718
118,luderitz,-26.6481,15.1594,22.75,78,98,4.34,NA,1742435719
119,ornskoldsvik,63.2909,18.7153,0.53,80,100,3.09,SE,1742435721
120,palikir - national government center,6.9248,158.1611,28.3,83,75,4.12,FM,1742435722
121,chatillon-sur-seine,47.8585,4.5738,6.4,84,27,2.88,FR,1742435723
122,bengkulu,-3.8004,102.2655,26.86,71,98,1.69,ID,1742435724
123,zhangye,38.9342,100.4517,6.26,24,0,2.13,CN,1742435725
124,hotan,37.0997,79.9269,8.32,21,48,2.05,CN,1742435726
125,christchurch,-43.5333,172.6333,20.18,59,75,5.66,NZ,1742435532
126,la'ie,21.6477,-157.9253,26.17,70,100,4.92,US,1742435728
127,coahuayana de hidalgo,18.7,-103.6583,20.87,86,100,0.41,MX,1742435729
128,olonkinbyen,70.9221,-8.7187,-7.26,63,100,5.6,SJ,1742435731
129,zambezi,-13.5432,23.1047,19.68,81,100,2.43,ZM,1742435732
130,kokopo,-4.352,152.2633,30.6,61,48,3.19,PG,1742435733
131,georgetown,5.4112,100.3354,29.97,67,20,4.12,MY,1742435734
132,ternate,0.8,127.4,28.88,70,61,0.86,ID,1742435735
133,hirosaki,40.5931,140.4725,2.99,54,97,5.69,JP,1742435645
134,garagoa,5.0824,-73.3633,17.29,94,87,0.42,CO,1742435738
135,lekeitio,43.3666,-2.5007,14.67,73,76,5.1,ES,1742435739
136,malango,-2.9627,119.9001,23.18,85,87,0.92,ID,1742435740
137,falenki,58.3613,51.5946,-3.97,96,100,5.24,RU,1742435742
138,luza,60.6308,47.2512,-4.77,93,98,3.89,RU,1742435743
139,emet,39.343,29.2585,-3.67,80,70,3.86,TR,1742435745
140,bilibino,68.0546,166.4372,-17.66,70,5,0.69,RU,1742435746
141,seka,17.9285,103.9552,21.5,38,67,3.27,TH,1742435484
142,brookings,44.3114,-96.7984,1.21,49,0,5.66,US,1742435748
143,badger,64.8,-147.5333,-5.86,54,40,3.09,US,1742435749
144,tazacorte,28.629,-17.9293,18.54,98,100,1.54,ES,1742435750
145,isafjordur,66.0755,-23.124,2.44,95,100,5.44,IS,1742435752
146,dawson creek,55.7666,-120.2362,5.8,45,0,3.09,CA,1742435699
147,dickinson,29.4608,-95.0513,23.03,29,0,7.2,US,1742435558
148,utrik,11.2278,169.8474,26.89,74,54,9.63,MH,1742435756
149,rehoboth,-23.3167,17.0833,21.21,66,100,0.71,NA,1742435689
150,queenstown,-31.8976,26.8753,16.34,50,0,1.32,ZA,1742435758
151,sumbawa besar,-8.5,117.4333,30.67,68,100,0.21,ID,1742435759
152,adh dhibiyah,24.5014,45.9686,24.47,27,56,5.96,SA,1742435760
153,usinsk,65.9939,57.5281,-4.78,94,100,10.12,RU,1742435764
154,dudinka,69.4058,86.1778,-18.42,98,94,5.53,RU,1742435765
